,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin_Letter
138,0.0,3,0,16.0,0,0,9.2167,0.0,7
139,0.0,1,0,24.0,0,0,79.2,1.0,1
140,0.0,3,1,26.0,0,2,15.2458,1.0,7
141,1.0,3,1,22.0,0,0,7.75,0.0,7
142,1.0,3,1,24.0,1,0,15.85,0.0,7
143,0.0,3,0,19.0,0,0,6.75,2.0,7
144,0.0,2,0,18.0,0,0,11.5,0.0,7
145,0.0,2,0,19.0,1,1,36.75,0.0,7
146,1.0,3,0,27.0,0,0,7.7958,0.0,7
147,0.0,3,1,9.0,2,2,34.375,0.0,7
148,0.0,2,0,36.5,0,2,26.0,0.0,5
149,0.0,2,0,42.0,0,0,13.0,0.0,7
150,0.0,2,0,51.0,0,0,12.525,0.0,7
151,1.0,1,1,22.0,1,0,66.6,0.0,2
152,0.0,3,0,55.5,0,0,8.05,0.0,7
153,0.0,3,0,40.5,0,2,14.5,0.0,7
154,0.0,3,0,25.0,0,0,7.3125,0.0,7
155,0.0,1,0,51.0,0,1,61.3792,1.0,7
156,1.0,3,1,16.0,0,0,7.7333,2.0,7
157,0.0,3,0,30.0,0,0,8.05,0.0,7
158,0.0,3,0,25.0,0,0,8.6625,0.0,7
159,0.0,3,0,14.5,8,2,69.55,0.0,7
160,0.0,3,0,44.0,0,1,16.1,0.0,7
161,1.0,2,1,40.0,0,0,15.75,0.0,7
162,0.0,3,0,26.0,0,0,7.775,0.0,7
163,0.0,3,0,17.0,0,0,8.6625,0.0,7
164,0.0,3,0,1.0,4,1,39.6875,0.0,7
165,1.0,3,0,9.0,0,2,20.525,0.0,7
166,1.0,1,1,30.0,0,1,55.0,0.0,4
167,0.0,3,1,45.0,1,4,27.9,0.0,7
168,0.0,1,0,41.5,0,0,25.925,0.0,7
169,0.0,3,0,28.0,0,0,56.4958,0.0,7
170,0.0,1,0,61.0,0,0,33.5,0.0,1
171,0.0,3,0,4.0,4,1,29.125,2.0,7
172,1.0,3,1,1.0,1,1,11.1333,0.0,7
173,0.0,3,0,21.0,0,0,7.925,0.0,7
174,0.0,1,0,56.0,0,0,30.6958,1.0,0
175,0.0,3,0,18.0,1,1,7.8542,0.0,7
176,0.0,3,0,6.0,3,1,25.4667,0.0,7
177,0.0,1,1,50.0,0,0,28.7125,1.0,2
178,0.0,2,0,30.0,0,0,13.0,0.0,7
179,0.0,3,0,36.0,0,0,0.0,0.0,7
180,0.0,3,1,14.5,8,2,69.55,0.0,7
181,0.0,2,0,30.0,0,0,15.05,1.0,7
182,0.0,3,0,9.0,4,2,31.3875,0.0,7
183,1.0,2,0,1.0,2,1,39.0,0.0,5
184,1.0,3,1,4.0,0,2,22.025,0.0,7
185,0.0,1,0,41.5,0,0,50.0,0.0,0
186,1.0,3,1,25.0,1,0,15.5,2.0,7
187,1.0,1,0,45.0,0,0,26.55,0.0,7
188,0.0,3,0,40.0,1,1,15.5,2.0,7
189,0.0,3,0,36.0,0,0,7.8958,0.0,7
190,1.0,2,1,32.0,0,0,13.0,0.0,7
191,0.0,2,0,19.0,0,0,13.0,0.0,7
192,1.0,3,1,19.0,1,0,7.8542,0.0,7
193,1.0,2,0,3.0,1,1,26.0,0.0,5
194,1.0,1,1,44.0,0,0,27.7208,1.0,1
195,1.0,1,1,58.0,0,0,146.5208,1.0,1
196,0.0,3,0,25.0,0,0,7.75,2.0,7
197,0.0,3,0,42.0,0,1,8.4042,0.0,7
198,1.0,3,1,25.0,0,0,7.75,2.0,7
199,0.0,2,1,24.0,0,0,13.0,0.0,7
200,0.0,3,0,28.0,0,0,9.5,0.0,7
201,0.0,3,0,14.5,8,2,69.55,0.0,7
202,0.0,3,0,34.0,0,0,6.4958,0.0,7
203,0.0,3,0,45.5,0,0,7.225,1.0,7
204,1.0,3,0,18.0,0,0,8.05,0.0,7
205,0.0,3,1,2.0,0,1,10.4625,0.0,6
206,0.0,3,0,32.0,1,0,15.85,0.0,7
207,1.0,3,0,26.0,0,0,18.7875,1.0,7
208,1.0,3,1,16.0,0,0,7.75,2.0,7
209,1.0,1,0,40.0,0,0,31.0,1.0,0
210,0.0,3,0,24.0,0,0,7.05,0.0,7
211,1.0,2,1,35.0,0,0,21.0,0.0,7
212,0.0,3,0,22.0,0,0,7.25,0.0,7
213,0.0,2,0,30.0,0,0,13.0,0.0,7
214,0.0,3,0,25.0,1,0,7.75,2.0,7
215,1.0,1,1,31.0,1,0,113.275,1.0,3
216,1.0,3,1,27.0,0,0,7.925,0.0,7
217,0.0,2,0,42.0,1,0,27.0,0.0,7
218,1.0,1,1,32.0,0,0,76.2917,1.0,3
219,0.0,2,0,30.0,0,0,10.5,0.0,7
220,1.0,3,0,16.0,0,0,8.05,0.0,7
221,0.0,2,0,27.0,0,0,13.0,0.0,7
222,0.0,3,0,51.0,0,0,8.05,0.0,7
223,0.0,3,0,25.0,0,0,7.8958,0.0,7
224,1.0,1,0,38.0,1,0,90.0,0.0,2
225,0.0,3,0,22.0,0,0,9.35,0.0,7
226,1.0,2,0,19.0,0,0,10.5,0.0,7
227,0.0,3,0,20.5,0,0,7.25,0.0,7
228,0.0,2,0,18.0,0,0,13.0,0.0,7
229,0.0,3,1,6.0,3,1,25.4667,0.0,7
230,1.0,1,1,35.0,1,0,83.475,0.0,2
231,0.0,3,0,29.0,0,0,7.775,0.0,7
232,0.0,2,0,59.0,0,0,13.5,0.0,7
233,1.0,3,1,5.0,4,2,31.3875,0.0,7
234,0.0,2,0,24.0,0,0,10.5,0.0,7
235,0.0,3,1,25.0,0,0,7.55,0.0,7
236,0.0,2,0,44.0,1,0,26.0,0.0,7
237,1.0,2,1,8.0,0,2,26.25,0.0,7
238,0.0,2,0,19.0,0,0,10.5,0.0,7
239,0.0,2,0,33.0,0,0,12.275,0.0,7
240,0.0,3,1,25.0,1,0,14.4542,1.0,7
241,1.0,3,1,25.0,1,0,15.5,2.0,7
242,0.0,2,0,29.0,0,0,10.5,0.0,7
243,0.0,3,0,22.0,0,0,7.125,0.0,7
244,0.0,3,0,30.0,0,0,7.225,1.0,7
245,0.0,1,0,44.0,2,0,90.0,2.0,2
246,0.0,3,1,25.0,0,0,7.775,0.0,7
247,1.0,2,1,24.0,0,2,14.5,0.0,7
248,1.0,1,0,37.0,1,1,52.5542,0.0,3
249,0.0,2,0,54.0,1,0,26.0,0.0,7
250,0.0,3,0,25.0,0,0,7.25,0.0,7
251,0.0,3,1,29.0,1,1,10.4625,0.0,6
252,0.0,1,0,62.0,0,0,26.55,0.0,2
253,0.0,3,0,30.0,1,0,16.1,0.0,7
254,0.0,3,1,41.0,0,2,20.2125,0.0,7
255,1.0,3,1,29.0,0,2,15.2458,1.0,7
256,1.0,1,1,41.5,0,0,79.2,1.0,7
257,1.0,1,1,30.0,0,0,86.5,0.0,1
258,1.0,1,1,35.0,0,0,512.3292,1.0,7
259,1.0,2,1,50.0,0,1,26.0,0.0,7
260,0.0,3,0,25.0,0,0,7.75,2.0,7
261,1.0,3,0,3.0,4,2,31.3875,0.0,7
262,0.0,1,0,52.0,1,1,79.65,0.0,4
263,0.0,1,0,40.0,0,0,0.0,0.0,1
264,0.0,3,1,25.0,0,0,7.75,2.0,7
265,0.0,2,0,36.0,0,0,10.5,0.0,7
266,0.0,3,0,16.0,4,1,39.6875,0.0,7
267,1.0,3,0,25.0,1,0,7.775,0.0,7
268,1.0,1,1,58.0,0,1,153.4625,0.0,2
269,1.0,1,1,35.0,0,0,135.6333,0.0,2
270,0.0,1,0,41.5,0,0,31.0,0.0,7
271,1.0,3,0,25.0,0,0,0.0,0.0,7
272,1.0,2,1,41.0,0,1,19.5,0.0,7
273,0.0,1,0,37.0,0,1,29.7,1.0,2
274,1.0,3,1,25.0,0,0,7.75,2.0,7
275,1.0,1,1,63.0,1,0,77.9583,0.0,3
276,0.0,3,1,45.0,0,0,7.75,0.0,7
277,0.0,2,0,30.0,0,0,0.0,0.0,7
278,0.0,3,0,7.0,4,1,29.125,2.0,7
279,1.0,3,1,35.0,1,1,20.25,0.0,7
280,0.0,3,0,65.0,0,0,7.75,2.0,7
281,0.0,3,0,28.0,0,0,7.8542,0.0,7
282,0.0,3,0,16.0,0,0,9.5,0.0,7
283,1.0,3,0,19.0,0,0,8.05,0.0,7
284,0.0,1,0,41.5,0,0,26.0,0.0,0
285,0.0,3,0,33.0,0,0,8.6625,1.0,7
286,1.0,3,0,30.0,0,0,9.5,0.0,7
287,0.0,3,0,22.0,0,0,7.8958,0.0,7
288,1.0,2,0,42.0,0,0,13.0,0.0,7
289,1.0,3,1,22.0,0,0,7.75,2.0,7
290,1.0,1,1,26.0,0,0,78.85,0.0,7
291,1.0,1,1,19.0,1,0,91.0792,1.0,1
292,0.0,2,0,36.0,0,0,12.875,1.0,3
293,0.0,3,1,24.0,0,0,8.85,0.0,7
294,0.0,3,0,24.0,0,0,7.8958,0.0,7
295,0.0,1,0,41.5,0,0,27.7208,1.0,7
296,0.0,3,0,23.5,0,0,7.2292,1.0,7
297,0.0,1,1,2.0,1,2,151.55,0.0,2
298,1.0,1,0,41.5,0,0,30.5,0.0,2
299,1.0,1,1,50.0,0,1,247.5208,1.0,1
300,1.0,3,1,25.0,0,0,7.75,2.0,7
301,1.0,3,0,23.0,2,0,23.25,2.0,7
302,0.0,3,0,19.0,0,0,0.0,0.0,7
303,1.0,2,1,30.0,0,0,12.35,2.0,4
304,0.0,3,0,25.0,0,0,8.05,0.0,7
305,1.0,1,0,0.92,1,2,151.55,0.0,2
306,1.0,1,1,35.0,0,0,110.8833,1.0,7
307,1.0,1,1,17.0,1,0,108.9,1.0,2
308,0.0,2,0,30.0,1,0,24.0,1.0,7
309,1.0,1,1,30.0,0,0,56.9292,1.0,4
310,1.0,1,1,24.0,0,0,83.1583,1.0,2
311,1.0,1,1,18.0,2,2,262.375,1.0,1
312,0.0,2,1,26.0,1,1,26.0,0.0,7
313,0.0,3,0,28.0,0,0,7.8958,0.0,7
314,0.0,2,0,43.0,1,1,26.25,0.0,7
315,1.0,3,1,26.0,0,0,7.8542,0.0,7
316,1.0,2,1,24.0,1,0,26.0,0.0,7
317,0.0,2,0,54.0,0,0,14.0,0.0,7
318,1.0,1,1,31.0,0,2,164.8667,0.0,2
319,1.0,1,1,40.0,1,1,134.5,1.0,4
320,0.0,3,0,22.0,0,0,7.25,0.0,7
321,0.0,3,0,27.0,0,0,7.8958,0.0,7
322,1.0,2,1,30.0,0,0,12.35,2.0,7
323,1.0,2,1,22.0,1,1,29.0,0.0,7
324,0.0,3,0,14.5,8,2,69.55,0.0,7
325,1.0,1,1,36.0,0,0,135.6333,1.0,2
326,0.0,3,0,61.0,0,0,6.2375,0.0,7
327,1.0,2,1,36.0,0,0,13.0,0.0,3
328,1.0,3,1,31.0,1,1,20.525,0.0,7
329,1.0,1,1,16.0,0,1,57.9792,1.0,1
330,1.0,3,1,23.0,2,0,23.25,2.0,7
331,0.0,1,0,45.5,0,0,28.5,0.0,2
332,0.0,1,0,38.0,0,1,153.4625,0.0,2
333,0.0,3,0,16.0,2,0,18.0,0.0,7
334,1.0,1,1,27.0,1,0,133.65,0.0,7
335,0.0,3,0,25.0,0,0,7.8958,0.0,7
336,0.0,1,0,29.0,1,0,66.6,0.0,2
337,1.0,1,1,41.0,0,0,134.5,1.0,4
338,1.0,3,0,45.0,0,0,8.05,0.0,7
339,0.0,1,0,45.0,0,0,35.5,0.0,7
340,1.0,2,0,2.0,1,1,26.0,0.0,5
341,1.0,1,1,24.0,3,2,263.0,0.0,2
342,0.0,2,0,28.0,0,0,13.0,0.0,7
343,0.0,2,0,25.0,0,0,13.0,0.0,7
344,0.0,2,0,36.0,0,0,13.0,0.0,7
345,1.0,2,1,24.0,0,0,13.0,0.0,5
346,1.0,2,1,40.0,0,0,13.0,0.0,7
347,1.0,3,1,25.0,1,0,16.1,0.0,7
348,1.0,3,0,3.0,1,1,15.9,0.0,7
349,0.0,3,0,42.0,0,0,8.6625,0.0,7
350,0.0,3,0,23.0,0,0,9.225,0.0,7
351,0.0,1,0,41.5,0,0,35.0,0.0,2
352,0.0,3,0,15.0,1,1,7.2292,1.0,7
353,0.0,3,0,25.0,1,0,17.8,0.0,7
354,0.0,3,0,25.0,0,0,7.225,1.0,7
355,0.0,3,0,28.0,0,0,9.5,0.0,7
356,1.0,1,1,22.0,0,1,55.0,0.0,4
357,0.0,2,1,38.0,0,0,13.0,0.0,7
358,1.0,3,1,25.0,0,0,7.8792,2.0,7
359,1.0,3,1,25.0,0,0,7.8792,2.0,7
360,0.0,3,0,40.0,1,4,27.9,0.0,7
361,0.0,2,0,29.0,1,0,27.7208,1.0,7
362,0.0,3,1,45.0,0,1,14.4542,1.0,7
363,0.0,3,0,35.0,0,0,7.05,0.0,7
364,0.0,3,0,25.0,1,0,15.5,2.0,7
365,0.0,3,0,30.0,0,0,7.25,0.0,7
366,1.0,1,1,60.0,1,0,75.25,1.0,3
367,1.0,3,1,25.0,0,0,7.2292,1.0,7
368,1.0,3,1,25.0,0,0,7.75,2.0,7
369,1.0,1,1,24.0,0,0,69.3,1.0,1
370,1.0,1,0,25.0,1,0,55.4417,1.0,4
371,0.0,3,0,18.0,1,0,6.4958,0.0,7
372,0.0,3,0,19.0,0,0,8.05,0.0,7
373,0.0,1,0,22.0,0,0,135.6333,1.0,7
374,0.0,3,1,3.0,3,1,21.075,0.0,7
375,1.0,1,1,38.0,1,0,82.1708,1.0,7
376,1.0,3,1,22.0,0,0,7.25,0.0,7
377,0.0,1,0,27.0,0,2,211.5,1.0,2
378,0.0,3,0,20.0,0,0,4.0125,1.0,7
379,0.0,3,0,19.0,0,0,7.775,0.0,7
380,1.0,1,1,42.0,0,0,227.525,1.0,7
381,1.0,3,1,1.0,0,2,15.7417,1.0,7
382,0.0,3,0,32.0,0,0,7.925,0.0,7
383,1.0,1,1,35.0,1,0,52.0,0.0,7
384,0.0,3,0,25.0,0,0,7.8958,0.0,7
385,0.0,2,0,18.0,0,0,73.5,0.0,7
386,0.0,3,0,1.0,5,2,46.9,0.0,7
387,1.0,2,1,36.0,0,0,13.0,0.0,7
388,0.0,3,0,25.0,0,0,7.7292,2.0,7
389,1.0,2,1,17.0,0,0,12.0,1.0,7
390,1.0,1,0,36.0,1,2,120.0,0.0,1
391,1.0,3,0,21.0,0,0,7.7958,0.0,7
392,0.0,3,0,28.0,2,0,7.925,0.0,7
393,1.0,1,1,23.0,1,0,113.275,1.0,3
394,1.0,3,1,24.0,0,2,16.7,0.0,6
395,0.0,3,0,22.0,0,0,7.7958,0.0,7
396,0.0,3,1,31.0,0,0,7.8542,0.0,7
397,0.0,2,0,46.0,0,0,26.0,0.0,7
398,0.0,2,0,23.0,0,0,10.5,0.0,7
399,1.0,2,1,28.0,0,0,12.65,0.0,7
400,1.0,3,0,39.0,0,0,7.925,0.0,7
401,0.0,3,0,26.0,0,0,8.05,0.0,7
402,0.0,3,1,21.0,1,0,9.825,0.0,7
403,0.0,3,0,28.0,1,0,15.85,0.0,7
404,0.0,3,1,20.0,0,0,8.6625,0.0,7
405,0.0,2,0,34.0,1,0,21.0,0.0,7
406,0.0,3,0,51.0,0,0,7.75,0.0,7
407,1.0,2,0,3.0,1,1,18.75,0.0,7
408,0.0,3,0,21.0,0,0,7.775,0.0,7
409,0.0,3,1,6.0,3,1,25.4667,0.0,7
410,0.0,3,0,25.0,0,0,7.8958,0.0,7
411,0.0,3,0,25.0,0,0,6.8583,2.0,7
412,1.0,1,1,33.0,1,0,90.0,2.0,2
413,0.0,2,0,30.0,0,0,0.0,0.0,7
414,1.0,3,0,44.0,0,0,7.925,0.0,7
415,0.0,3,1,25.0,0,0,8.05,0.0,7
416,1.0,2,1,34.0,1,1,32.5,0.0,7
417,1.0,2,1,18.0,0,2,13.0,0.0,7
418,0.0,2,0,30.0,0,0,13.0,0.0,7
419,0.0,3,1,10.0,0,2,24.15,0.0,7
420,0.0,3,0,25.0,0,0,7.8958,1.0,7
421,0.0,3,0,21.0,0,0,7.7333,2.0,7
422,0.0,3,0,29.0,0,0,7.875,0.0,7
423,0.0,3,1,28.0,1,1,14.4,0.0,7
424,0.0,3,0,18.0,1,1,20.2125,0.0,7
425,0.0,3,0,25.0,0,0,7.25,0.0,7
426,1.0,2,1,28.0,1,0,26.0,0.0,7
427,1.0,2,1,19.0,0,0,26.0,0.0,7
428,0.0,3,0,25.0,0,0,7.75,2.0,7
429,1.0,3,0,32.0,0,0,8.05,0.0,4
430,1.0,1,0,28.0,0,0,26.55,0.0,2
431,1.0,3,1,25.0,1,0,16.1,0.0,7
432,1.0,2,1,42.0,1,0,26.0,0.0,7
433,0.0,3,0,17.0,0,0,7.125,0.0,7
434,0.0,1,0,50.0,1,0,55.9,0.0,4
435,1.0,1,1,14.0,1,2,120.0,0.0,1
436,0.0,3,1,21.0,2,2,34.375,0.0,7
437,1.0,2,1,24.0,2,3,18.75,0.0,7
438,0.0,1,0,64.0,1,4,263.0,0.0,2
439,0.0,2,0,31.0,0,0,10.5,0.0,7
440,1.0,2,1,45.0,1,1,26.25,0.0,7
441,0.0,3,0,20.0,0,0,9.5,0.0,7
442,0.0,3,0,25.0,1,0,7.775,0.0,7
443,1.0,2,1,28.0,0,0,13.0,0.0,7
444,1.0,3,0,25.0,0,0,8.1125,0.0,7
445,1.0,1,0,4.0,0,2,81.8583,0.0,0
446,1.0,2,1,13.0,0,1,19.5,0.0,7
447,1.0,1,0,34.0,0,0,26.55,0.0,7
448,1.0,3,1,5.0,2,1,19.2583,1.0,7
449,1.0,1,0,52.0,0,0,30.5,0.0,2
450,0.0,2,0,36.0,1,2,27.75,0.0,7
451,0.0,3,0,25.0,1,0,19.9667,0.0,7
452,0.0,1,0,30.0,0,0,27.75,1.0,2
453,1.0,1,0,49.0,1,0,89.1042,1.0,2
454,0.0,3,0,25.0,0,0,8.05,0.0,7
455,1.0,3,0,29.0,0,0,7.8958,1.0,7
456,0.0,1,0,65.0,0,0,26.55,0.0,4
457,1.0,1,1,38.0,1,0,51.8625,0.0,3
458,1.0,2,1,50.0,0,0,10.5,0.0,7
459,0.0,3,0,25.0,0,0,7.75,2.0,7
460,1.0,1,0,48.0,0,0,26.55,0.0,4
461,0.0,3,0,34.0,0,0,8.05,0.0,7
462,0.0,1,0,47.0,0,0,38.5,0.0,4
463,0.0,2,0,48.0,0,0,13.0,0.0,7
464,0.0,3,0,25.0,0,0,8.05,0.0,7
465,0.0,3,0,38.0,0,0,7.05,0.0,7
466,0.0,2,0,30.0,0,0,0.0,0.0,7
467,0.0,1,0,56.0,0,0,26.55,0.0,7
468,0.0,3,0,25.0,0,0,7.725,2.0,7
469,1.0,3,1,0.75,2,1,19.2583,1.0,7
470,0.0,3,0,25.0,0,0,7.25,0.0,7
471,0.0,3,0,38.0,0,0,8.6625,0.0,7
472,1.0,2,1,33.0,1,2,27.75,0.0,7
473,1.0,2,1,23.0,0,0,13.7917,1.0,3
474,0.0,3,1,22.0,0,0,9.8375,0.0,7
475,0.0,1,0,41.5,0,0,52.0,0.0,0
476,0.0,2,0,34.0,1,0,21.0,0.0,7
477,0.0,3,0,29.0,1,0,7.0458,0.0,7
478,0.0,3,0,22.0,0,0,7.5208,0.0,7
479,1.0,3,1,2.0,0,1,12.2875,0.0,7
480,0.0,3,0,9.0,5,2,46.9,0.0,7
481,0.0,2,0,30.0,0,0,0.0,0.0,7
482,0.0,3,0,50.0,0,0,8.05,0.0,7
483,1.0,3,1,63.0,0,0,9.5875,0.0,7
484,1.0,1,0,25.0,1,0,91.0792,1.0,1
485,0.0,3,1,6.0,3,1,25.4667,0.0,7
486,1.0,1,1,35.0,1,0,90.0,0.0,2
487,0.0,1,0,58.0,0,0,29.7,1.0,1
488,0.0,3,0,30.0,0,0,8.05,0.0,7
489,1.0,3,0,9.0,1,1,15.9,0.0,7
490,0.0,3,0,25.0,1,0,19.9667,0.0,7
