,Survived,Sex,Pclass_1,Pclass_2,Pclass_3,Embarked_0.0,Embarked_1.0,Embarked_2.0,Alone,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Soldier,Title_Upper,Ticket_survived,Woman_with_child,Family_male_survived,Family_woman_child_died,Ticket_type_0,Ticket_type_1,Ticket_type_2,Ticket_type_3,Ticket_type_4,Ticket_type_5,Ticket_type_6,Ticket_type_7,Age,SibSp,Parch,Fare,Family_size,Cabin_Letter
10,1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.895017652102187,0.481287771858981,0.7107630931786129,-0.32047506490793826,0.7050506355744817,6
11,1.0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1651965735980596,-0.47908676070718687,-0.444999501816175,-0.13004054528804052,-0.5583460543187373,2
12,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6919912148576696,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
13,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.7366026793701951,0.481287771858981,5.333813473157765,-0.03868997623179524,3.2318440153609194,5
14,0.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.1431261288243637,-0.47908676070718687,-0.444999501816175,-0.4914949302534906,-0.5583460543187373,5
15,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9396291166147126,-0.47908676070718687,-0.444999501816175,-0.3340084825459005,-0.5583460543187373,3
16,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-2.0453959567577518,3.3624113695574844,0.7107630931786129,-0.0802569018341079,2.6001456704143098,5
17,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.059900308420153925,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,-0.5583460543187373,3
18,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.13508946074793626,0.481287771858981,-0.444999501816175,-0.29534157500886543,0.07335229062787217,3
19,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5036595393646418,-0.5583460543187373,5
20,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43584607005906567,-0.47908676070718687,-0.444999501816175,-0.14067394486072518,-0.5583460543187373,3
21,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.36065691773128333,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,-0.5583460543187373,3
22,1.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0679369764965814,-0.47908676070718687,-0.444999501816175,-0.48811157584400006,-0.5583460543187373,5
23,1.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09047799623541078,-0.47908676070718687,-0.444999501816175,0.04299386594019136,-0.5583460543187373,0
24,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1.5942610427910577,2.4020368369913165,0.7107630931786129,-0.23589120467067404,1.9684473254677004,5
25,1.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.6614135270424127,0.481287771858981,5.333813473157765,-0.036514962682837,3.2318440153609194,5
26,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5036595393646418,-0.5583460543187373,5
27,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.7671803671854519,2.4020368369913165,1.8665256881734007,4.44135459827793,2.6001456704143098,2
28,1.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.4910115939092776,-0.5583460543187373,5
29,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,5
30,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8117918316979774,-0.47908676070718687,-0.444999501816175,-0.1074049376158602,-0.5583460543187373,3
31,1.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.16566714856319312,0.481287771858981,-0.444999501816175,2.1894093700840225,0.07335229062787217,1
32,1.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49350947613617013,-0.5583460543187373,5
33,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.7667097922203183,-0.47908676070718687,-0.444999501816175,-0.4403424782727469,-0.5583460543187373,5
34,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.09047799623541078,0.481287771858981,-0.444999501816175,0.9453016200799194,0.07335229062787217,4
35,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9621701363535421,0.481287771858981,-0.444999501816175,0.3619958531207306,0.07335229062787217,3
36,1.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5035783388588141,-0.5583460543187373,5
37,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
38,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.8423695195132342,1.4416623044251486,-0.444999501816175,-0.29534157500886543,0.7050506355744817,5
39,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1431261288243637,0.481287771858981,-0.444999501816175,-0.4260028556126374,0.07335229062787217,5
40,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8117918316979774,0.481287771858981,-0.444999501816175,-0.4601592683854773,0.07335229062787217,4
41,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16566714856319312,0.481287771858981,-0.444999501816175,-0.23734121370331285,0.07335229062787217,5
42,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,5
43,1.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.9702068044299694,0.481287771858981,1.8665256881734007,0.16052579808976314,1.3367489805210908,5
44,1.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7671803671854519,-0.47908676070718687,-0.444999501816175,-0.4910115939092776,-0.5583460543187373,5
45,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
46,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,0.481287771858981,-0.444999501816175,-0.3436752094301593,0.07335229062787217,3
47,1.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49350947613617013,-0.5583460543187373,5
48,0.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4664237578743225,1.4416623044251486,-0.444999501816175,-0.2242099319037357,0.7050506355744817,3
49,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8423695195132342,0.481287771858981,-0.444999501816175,-0.2992082657625689,0.07335229062787217,5
50,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1.66945019511884,3.3624113695574844,0.7107630931786129,0.12395270359585853,2.6001456704143098,5
51,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.4925428034477442,-0.5583460543187373,5
52,1.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.4884942026480186,0.481287771858981,-0.444999501816175,0.8400966980531545,0.07335229062787217,3
53,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.015288843907628425,0.481287771858981,-0.444999501816175,-0.14067394486072518,0.07335229062787217,3
54,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.691520639892536,-0.47908676070718687,0.7107630931786129,0.5549282549675207,0.07335229062787217,1
55,1.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9245755601896509,-0.47908676070718687,-0.444999501816175,0.04299386594019136,-0.5583460543187373,2
56,1.0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.4403424782727469,-0.5583460543187373,5
57,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.052883420071519596,-0.47908676070718687,-0.444999501816175,-0.5035783388588141,-0.5583460543187373,5
58,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.8198284997744048,0.481287771858981,1.8665256881734007,-0.10684040076581951,1.3367489805210908,5
59,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1.3686935858077107,4.322785902123652,1.8665256881734007,0.2633952389012912,3.8635423603075285,5
60,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5416129102021049,-0.47908676070718687,-0.444999501816175,-0.5035783388588141,-0.5583460543187373,5
61,1.0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6614135270424127,-0.47908676070718687,-0.444999501816175,0.9033325586392215,-0.5583460543187373,1
62,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.1877375933368892,0.481287771858981,-0.444999501816175,0.9705163104848198,0.07335229062787217,2
63,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1.895017652102187,2.4020368369913165,1.8665256881734007,-0.1039403827005419,2.6001456704143098,5
64,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9245755601896509,-0.47908676070718687,-0.444999501816175,-0.1074049376158602,-0.5583460543187373,3
65,1.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.9927478241687989,0.481287771858981,0.7107630931786129,-0.3485897733781164,0.7050506355744817,6
66,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.015288843907628425,-0.47908676070718687,-0.444999501816175,-0.4403424782727469,-0.5583460543187373,5
67,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7671803671854519,-0.47908676070718687,-0.444999501816175,-0.4856156269624844,-0.5583460543187373,5
68,1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.9175586718410166,3.3624113695574844,1.8665256881734007,-0.4901261217266795,3.2318440153609194,6
69,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.24085630089097548,1.4416623044251486,-0.444999501816175,-0.47586769957239783,0.7050506355744817,5
70,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.21027861307571863,-0.47908676070718687,-0.444999501816175,-0.4403424782727469,-0.5583460543187373,5
71,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.9927478241687989,4.322785902123652,1.8665256881734007,0.2633952389012912,3.8635423603075285,5
72,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,0.7776651091438576,-0.5583460543187373,5
73,0.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.24085630089097548,0.481287771858981,-0.444999501816175,-0.3638941353812749,0.07335229062787217,3
74,1.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.21027861307571863,-0.47908676070718687,-0.444999501816175,0.4489151945732318,-0.5583460543187373,3
75,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.4954428215130219,-0.5583460543187373,5
76,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,5
77,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
78,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.133367264981257,-0.47908676070718687,1.8665256881734007,-0.08267358355517258,0.7050506355744817,5
79,1.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.059900308420153925,-0.47908676070718687,-0.444999501816175,-0.40215890707992474,-0.5583460543187373,4
80,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5416129102021049,-0.47908676070718687,-0.444999501816175,-0.4693426589255232,-0.5583460543187373,5
81,1.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.015288843907628425,-0.47908676070718687,-0.444999501816175,-0.45967593204126445,-0.5583460543187373,4
82,1.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.4927844716198507,-0.5583460543187373,5
83,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09047799623541078,-0.47908676070718687,-0.444999501816175,0.26726192965499473,-0.5583460543187373,0
84,1.0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.9175586718410166,-0.47908676070718687,-0.444999501816175,-0.4403424782727469,-0.5583460543187373,5
85,1.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.285467765403501,2.4020368369913165,-0.444999501816175,-0.3369085006111781,1.3367489805210908,3
86,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.9927478241687989,0.481287771858981,3.022288283168189,0.02124373045060914,1.9684473254677004,5
87,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
88,1.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.4664237578743225,2.4020368369913165,1.8665256881734007,4.44135459827793,2.6001456704143098,2
89,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.39123460554654016,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
90,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.015288843907628425,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,4
91,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6919912148576696,-0.47908676070718687,-0.444999501816175,-0.4914949302534906,-0.5583460543187373,5
92,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2629267456646716,0.481287771858981,-0.444999501816175,0.5393802914468789,0.07335229062787217,4
93,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.24085630089097548,0.481287771858981,1.8665256881734007,-0.2455579315549328,1.3367489805210908,5
94,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.240385725925842,-0.47908676070718687,-0.444999501816175,-0.5031762030204289,-0.5583460543187373,5
95,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
96,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.14265555385923,-0.47908676070718687,-0.444999501816175,0.026641630742779292,-0.5583460543187373,0
97,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.4664237578743225,-0.47908676070718687,0.7107630931786129,0.5815910210596833,0.07335229062787217,3
98,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.36065691773128333,-0.47908676070718687,0.7107630931786129,-0.19867430616627776,0.07335229062787217,5
99,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.36065691773128333,0.481287771858981,-0.444999501816175,-0.14067394486072518,0.07335229062787217,3
100,0.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09047799623541078,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,4
101,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,5
102,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6168020625298872,-0.47908676070718687,0.7107630931786129,0.8508905652921176,0.07335229062787217,3
103,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.285467765403501,-0.47908676070718687,-0.444999501816175,-0.4760281672386766,-0.5583460543187373,4
104,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5862243747146304,1.4416623044251486,-0.444999501816175,-0.4901261217266795,0.7050506355744817,4
105,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09047799623541078,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,4
106,1.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.4954428215130219,-0.5583460543187373,5
107,1.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.4930261397919572,-0.5583460543187373,5
108,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6614135270424127,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,-0.5583460543187373,4
109,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,0.481287771858981,-0.444999501816175,-0.17644083433248264,0.07335229062787217,3
110,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.338115897992454,-0.47908676070718687,-0.444999501816175,0.3619958531207306,-0.5583460543187373,2
111,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1.1055315526604725,0.481287771858981,-0.444999501816175,-0.3638941353812749,0.07335229062787217,3
112,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5416129102021049,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
113,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.6919912148576696,0.481287771858981,-0.444999501816175,-0.45339255956649627,0.07335229062787217,5
114,0.0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9175586718410166,-0.47908676070718687,-0.444999501816175,-0.36381486822082393,-0.5583460543187373,3
115,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.4901261217266795,-0.5583460543187373,5
116,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.105060977695339,-0.47908676070718687,-0.444999501816175,-0.49350947613617013,-0.5583460543187373,5
117,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.015288843907628425,0.481287771858981,-0.444999501816175,-0.23734121370331285,0.07335229062787217,3
118,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.39123460554654016,-0.47908676070718687,0.7107630931786129,4.142088200704293,0.07335229062787217,1
119,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-2.0453959567577518,3.3624113695574844,1.8665256881734007,-0.03868997623179524,3.2318440153609194,5
120,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6168020625298872,1.4416623044251486,-0.444999501816175,0.7776651091438576,0.7050506355744817,5
121,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,5
122,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2478731892396098,0.481287771858981,-0.444999501816175,-0.061971321259844045,0.07335229062787217,3
123,1.0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2478731892396098,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,-0.5583460543187373,4
124,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8644399642869303,-0.47908676070718687,0.7107630931786129,0.8508905652921176,0.07335229062787217,3
125,1.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.2935044334799284,0.481287771858981,-0.444999501816175,-0.4260028556126374,0.07335229062787217,5
